-2000, -9816, -14432, 14010, 227, -2151, 493500
-3252, -10884, -10196, 15193, 10, -2149, 493600
-1588, -12056, -7208, 16274, 154, -2639, 493700
-604, -12572, -4704, 17812, 1080, -2223, 493800
-2708, -11912, -732, 20460, 2349, -1856, 493900
-1100, -9272, 300, 25482, -777, -1570, 494000
2112, 480, 9076, 30441, 4066, -124, 494100
-15884, 3500, 17268, 26449, -4673, 3965, 494200
1272, 5876, 11480, 28763, -1519, 780, 494300
-13956, 10476, 17972, 26725, -2136, 4183, 494400
2564, 17412, 13868, 24725, 3376, 1302, 494500
1300, 18372, 10260, 23078, -7672, 4893, 494600
-1528, 19800, 7204, 22616, -282, 432, 494700
-1836, 21016, 4952, 20913, -2139, 956, 494800
668, 19704, 1120, 17714, -5122, 303, 494900
-860, 15744, -6060, 14523, -1157, -1203, 495000
1000, 15684, -8612, 16119, -7177, -1317, 495100
-1596, 15356, -12132, 16246, 6255, -1808, 495200
-1360, 11960, -14076, 13669, -7788, -546, 495300
-1188, 9504, -15724, 13385, 2949, -2309, 495400
-3180, 5624, -15192, 12622, -3438, -1124, 495500
-2544, 2872, -16708, 12501, 544, -2239, 495600
-2564, 792, -17908, 12931, -1470, -1728, 495700
-2920, -2708, -15764, 13398, 112, -1625, 495800
-2796, -5712, -16208, 13822, 256, -1927, 495900
-2228, -7268, -13108, 14188, -660, -1885, 496000
-2736, -10220, -10824, 15383, 924, -2177, 496100
-1988, -11108, -9300, 16657, -697, -1899, 496200
-2000, -12028, -5732, 18482, 1070, -2343, 496300
-1084, -12108, -3648, 20398, 1021, -1998, 496400
-1048, -11488, 920, 22719, 1673, -1864, 496500
780, -6412, 1488, 27523, 336, -1270, 496600
1440, -852, 22076, 24158, 19406, -830, 496700
-1304, -1760, 10788, 23582, -12572, 3329, 496800
1064, 6876, 18056, 24536, 17364, -781, 496900
2476, 10700, 14628, 24926, -6710, 2118, 497000
-4516, 16268, 17400, 24708, 7030, -1964, 497100
-260, 19496, 8004, 23544, -4245, 208, 497200
-604, 20356, 5232, 22220, 671, 808, 497300
536, 20624, 1108, 19957, -5322, 1277, 497400
564, 17476, -2324, 15882, -407, 166, 497500
-2956, 17480, -12432, 15876, -11681, 472, 497600
2296, 15768, -9220, 15645, 5977, -3635, 497700
-4912, 13000, -8336, 14901, -3449, 180, 497800
